Canonicalized SMILES,Standardized SMILES,Canonicalized Taste,Source
Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)O)O1,Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)O)O1,sweet,flavor_db
Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)O)O1,Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)O)O1,sweet,flavor_db
Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,sweet,flavor_db
CC(=O)C(C)=O,CC(=O)C(C)=O,sweet,flavor_db
O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,bitter,flavor_db
O=C1CCc2ccccc2O1,O=C1CCc2ccccc2O1,sweet,flavor_db
O=C(CO)CO,O=C(CO)CO,undefined,flavor_db
CCO,CCO,sweet,flavor_db
NCC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,NCC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,sweet,flavor_db
O=C(O)CCCC(=O)O,O=C(O)CCCC(=O)O,undefined,flavor_db
C#N,C#N,bitter,flavor_db
c1ccc2[nH]ccc2c1,c1ccc2[nH]ccc2c1,undefined,flavor_db
O=C(O)Cc1c[nH]c2ccccc12,O=C(O)Cc1c[nH]c2ccccc12,sour,flavor_db
CC(O)C(O)C(O)C(=O)CO,CC(O)C(O)C(O)C(=O)CO,sweet,flavor_db
OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O,OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O,sweet,flavor_db
O=C(O)C(O)C(O)C(=O)O,O=C(O)C(O)C(O)C(=O)O,undefined,flavor_db
CS,CS,undefined,flavor_db
CC(=O)C=O,CC(=O)C=O,sweet,flavor_db
CC(=O)C=O,CC(=O)C=O,sour,flavor_db
CO,CO,undefined,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC2OCC(O)C2O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC2OCC(O)C2O)C(O)C1O,sweet,flavor_db
c1ccc2ccccc2c1,c1ccc2ccccc2c1,undefined,flavor_db
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,bitter,flavor_db
NC(=O)c1cccnc1,NC(=O)c1cccnc1,undefined,flavor_db
[N-]=[N+]=O,[N-]=[N+]=O,undefined,flavor_db
CCCCCCCCO,CCCCCCCCO,undefined,flavor_db
O,O,undefined,flavor_db
O=C(O)C(=O)CO,O=C(O)C(=O)CO,sour,flavor_db
CCCCCCCCCCCCCCCC=O,CCCCCCCCCCCCCCCC=O,undefined,flavor_db
CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCC(=O)O,undefined,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(OP(=O)(O)O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(OP(=O)(O)O)C1O,sweet,flavor_db
Oc1ccccc1,Oc1ccccc1,undefined,flavor_db
O=C(O)C(=O)Cc1ccccc1,O=C(O)C(=O)Cc1ccccc1,sweet,flavor_db
O=C(O)C(=O)Cc1ccccc1,O=C(O)C(=O)Cc1ccccc1,sour,flavor_db
O=CCc1ccccc1,O=CCc1ccccc1,sweet,flavor_db
O=C(O)Cc1ccccc1,O=C(O)Cc1ccccc1,sweet,flavor_db
O=C(O)Cc1ccccc1,O=C(O)Cc1ccccc1,sour,flavor_db
NCCc1ccccc1,NCCc1ccccc1,undefined,flavor_db
O=P(O)(O)O,O=P(O)(O)O,undefined,flavor_db
CC(O)CO,CC(O)CO,undefined,flavor_db
CCCO,CCCO,undefined,flavor_db
c1ccncc1,c1ccncc1,sour,flavor_db
CC(=O)C(=O)O,CC(=O)C(=O)O,sour,flavor_db
CSC,CSC,sweet,flavor_db
C1CCSC1,C1CCSC1,undefined,flavor_db
Cc1ncsc1CCO,Cc1ncsc1CCO,undefined,flavor_db
Cc1ccccc1,Cc1ccccc1,sweet,flavor_db
C[N+](C)(C)[O-],C[N+](C)(C)[O-],undefined,flavor_db
CN(C)C,CN(C)C,undefined,flavor_db
COc1cc(C=O)ccc1O,COc1cc(C=O)ccc1O,sweet,flavor_db
CC1CCCC2(C)CCCCC12O,CC1CCCC2(C)CCCCC12O,undefined,flavor_db
Nc1ncnc2c1ncn2C1CC(OP(=O)(O)O)C(CO)O1,Nc1ncnc2c1ncn2C1CC(OP(=O)(O)O)C(CO)O1,sweet,flavor_db
O=C(O)c1ccc(O)cc1O,O=C(O)c1ccc(O)cc1O,undefined,flavor_db
Nc1nc(Cl)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1nc(Cl)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CC1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CC1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(OP(=O)(O)O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(OP(=O)(O)O)C1O,sweet,flavor_db
O=C(O)C(O)CC(O)C(O)C(=O)O,O=C(O)C(O)CC(O)C(O)C(=O)O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1OP(=O)(O)O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1OP(=O)(O)O,sweet,flavor_db
NCCCCCCNc1nc2c(N)ncnc2n1C1OC(COP(=O)(O)O)C(O)C1O,NCCCCCCNc1nc2c(N)ncnc2n1C1OC(COP(=O)(O)O)C(O)C1O,sweet,flavor_db
Nc1ncnc2c1nc(Br)n2C1OC2COP(=O)(O)OC2C1O,Nc1ncnc2c1nc(Br)n2C1OC2COP(=O)(O)OC2C1O,sweet,flavor_db
O=P(O)(O)OP(=O)(O)OCC1OC(n2cnc3c(NBr)ncnc32)C(O)C1O,O=P(O)(O)OP(=O)(O)OCC1OC(n2cnc3c(NBr)ncnc32)C(O)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(CO)C2OP(=O)(O)OC21,Nc1ncnc2c1ncn2C1OC(CO)C2OP(=O)(O)OC21,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1OP(=O)(O)O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1OP(=O)(O)O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(O)(O)=S)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(O)(O)=S)C(O)C1O,sweet,flavor_db
COc1cc(C(C)=O)ccc1O,COc1cc(C(C)=O)ccc1O,sweet,flavor_db
COC(=O)C1=CCCN(C)C1,COC(=O)C1=CCCN(C)C1,bitter,flavor_db
O=C(OCc1ccccc1)c1ccccc1,O=C(OCc1ccccc1)c1ccccc1,sweet,flavor_db
S=C=NCc1ccccc1,S=C=NCc1ccccc1,undefined,flavor_db
CC12CCC(CC1=O)C2(C)C,CC12CCC(CC1=O)C2(C)C,undefined,flavor_db
CCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCCO,undefined,flavor_db
CC12CCC(CC1)C(C)(C)O2,CC12CCC(CC1)C(C)(C)O2,sweet,flavor_db
Cc1ccc(O)cc1,Cc1ccc(O)cc1,undefined,flavor_db
CCCCCCCCCC(=O)O,CCCCCCCCCC(=O)O,sour,flavor_db
CCCCOC(=O)c1ccccc1C(=O)OCCCC,CCCCOC(=O)c1ccccc1C(=O)OCCCC,undefined,flavor_db
O=C(c1ccccc1)c1ccccc1,O=C(c1ccccc1)c1ccccc1,undefined,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)CP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)CP(=O)(O)OP(=O)(O)O)C(O)C1O,sweet,flavor_db
C=CCc1ccc(O)c(OC)c1,C=CCc1ccc(O)c(OC)c1,sweet,flavor_db
Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,sweet,flavor_db
CC(O)C(O)C(O)C(O)CO,CC(O)C(O)C(O)C(O)CO,sweet,flavor_db
O=CCCCC=O,O=CCCCC=O,undefined,flavor_db
CC(C)c1cccc(O)c(=O)c1,CC(C)c1cccc(O)c(=O)c1,undefined,flavor_db
CCCCCCCCCCCC(=O)O,CCCCCCCCCCCC(=O)O,undefined,flavor_db
CC1(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,CC1(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet,flavor_db
CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,bitter,flavor_db
CP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,CP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,sweet,flavor_db
COC(=O)c1ccccc1O,COC(=O)c1ccccc1O,undefined,flavor_db
C=CCc1cc(OC)c2c(c1)OCO2,C=CCc1cc(OC)c2c(c1)OCO2,undefined,flavor_db
CNc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,CNc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,sweet,flavor_db
COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,COc1ccnc(C[S+]([O-])c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,bitter,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)NP(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)NP(=O)(O)O)C(O)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)CP(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)CP(=O)(O)O)C(O)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)CP(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)CP(=O)(O)O)C(O)C1O,sweet,flavor_db
C1CNCCN1,C1CNCCN1,undefined,flavor_db
Oc1cccc(O)c1,Oc1cccc(O)c1,undefined,flavor_db
O=C1NS(=O)(=O)c2ccccc21,O=C1NS(=O)(=O)c2ccccc21,bitter,flavor_db
C=CCc1ccc2c(c1)OCO2,C=CCc1ccc2c(c1)OCO2,sweet,flavor_db
CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,undefined,flavor_db
CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,undefined,flavor_db
NCCc1ccc(O)cc1,NCCc1ccc(O)cc1,undefined,flavor_db
C=CCCCCCCCCC(=O)O,C=CCCCCCCCCC(=O)O,sweet,flavor_db
C=CCN=C=S,C=CCN=C=S,bitter,flavor_db
NS(=O)(=O)O,NS(=O)(=O)O,undefined,flavor_db
CNCC(O)c1cccc(O)c1,CNCC(O)c1cccc(O)c1,bitter,flavor_db
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,bitter,flavor_db
CCCCCC=O,CCCCCC=O,undefined,flavor_db
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],sour,flavor_db
CS(C)(=O)=O,CS(C)(=O)=O,undefined,flavor_db
CCCCCO,CCCCCO,sweet,flavor_db
CCN,CCN,undefined,flavor_db
CCS,CCS,undefined,flavor_db
CC(C)N,CC(C)N,undefined,flavor_db
CC(C)S,CC(C)S,undefined,flavor_db
CC1CO1,CC1CO1,sweet,flavor_db
CC(C)(C)O,CC(C)(C)O,undefined,flavor_db
CCC(C)(C)O,CCC(C)(C)O,undefined,flavor_db
CC(=O)OC1CC2CCC1(C)C2(C)C,CC(=O)OC1CC2CCC1(C)C2(C)C,sweet,flavor_db
CCC(C)(O)CC,CCC(C)(O)CC,undefined,flavor_db
CCOC(=O)C1OC1(C)c1ccccc1,CCOC(=O)C1OC1(C)c1ccccc1,sweet,flavor_db
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,sweet,flavor_db
O=C(O)CCS,O=C(O)CCS,undefined,flavor_db
C=CC(C)(CCC=C(C)C)OC(=O)C(C)C,C=CC(C)(CCC=C(C)C)OC(=O)C(C)C,undefined,flavor_db
CC1=CC(=O)CC(C)(C)C1,CC1=CC(=O)CC(C)(C)C1,sweet,flavor_db
CCC(C)(O)CCCC(C)C,CCC(C)(O)CCCC(C)C,undefined,flavor_db
C=CC(C)(O)CCC=C(C)C,C=CC(C)(O)CCC=C(C)C,sweet,flavor_db
CC(C)CN,CC(C)CN,undefined,flavor_db
CC(C)CO,CC(C)CO,bitter,flavor_db
CC(C)C=O,CC(C)C=O,undefined,flavor_db
CCC(C)O,CCC(C)O,sweet,flavor_db
CCC(C)=O,CCC(C)=O,undefined,flavor_db
COC(C)=O,COC(C)=O,sweet,flavor_db
CC(C)C(=O)O,CC(C)C(=O)O,undefined,flavor_db
C=C1C2CCC(C2)C1(C)C,C=C1C2CCC(C2)C1(C)C,undefined,flavor_db
CC(=O)OC(C)(C)C1CCC(C)CC1,CC(=O)OC(C)(C)C1CCC(C)CC1,undefined,flavor_db
CC1=CCC2CC1C2(C)C,CC1=CCC2CC1C2(C)C,sweet,flavor_db
C=C(C)C(=O)OC,C=C(C)C(=O)OC,undefined,flavor_db
CC1=C(O)C(=O)CC1,CC1=C(O)C(=O)CC1,undefined,flavor_db
CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,undefined,flavor_db
Cc1c[nH]c2ccccc12,Cc1c[nH]c2ccccc12,undefined,flavor_db
Nc1nc(=O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1,Nc1nc(=O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1,undefined,flavor_db
CNc1ccccc1C(=O)OC,CNc1ccccc1C(=O)OC,sweet,flavor_db
CC(C)CCOC(=O)c1ccccc1O,CC(C)CCOC(=O)c1ccccc1O,bitter,flavor_db
CCOC(=O)c1ccccc1N,CCOC(=O)c1ccccc1N,sweet,flavor_db
O=C1OCc2ccccc21,O=C1OCc2ccccc21,sweet,flavor_db
CCC(CC)C(=O)O,CCC(CC)C(=O)O,sour,flavor_db
O=C(O)c1ccco1,O=C(O)c1ccco1,undefined,flavor_db
CC(=O)c1cccs1,CC(=O)c1cccs1,undefined,flavor_db
CCc1cc2c(cc1C(C)=O)C(C)(C)CCC2(C)C,CCc1cc2c(cc1C(C)=O)C(C)(C)CCC2(C)C,undefined,flavor_db
CC(C)c1ccccc1O,CC(C)c1ccccc1O,undefined,flavor_db
CC(C)=C1CCC(C)C2=C(C1)C(C)CC2,CC(C)=C1CCC(C)C2=C(C1)C(C)CC2,sweet,flavor_db
O=C1C(O)=C(O)OC1C(O)CO,O=C1C(O)=C(O)OC1C(O)CO,undefined,flavor_db
CC(=O)c1ccc(C)cc1C,CC(=O)c1ccc(C)cc1C,sweet,flavor_db
CC1CCC(C(C)C)C(=O)C1,CC1CCC(C(C)C)C(=O)C1,sweet,flavor_db
CC1=CC(=O)C(C(C)C)CC1,CC1=CC(=O)C(C(C)C)CC1,sweet,flavor_db
CC(C)=C1CCC(C)CC1=O,CC(C)=C1CCC(C)CC1=O,undefined,flavor_db
Cc1ccc(C(C)C)c(O)c1,Cc1ccc(C(C)C)c(O)c1,undefined,flavor_db
O=Cc1ccccc1O,O=Cc1ccccc1O,undefined,flavor_db
Cc1cccc2ccccc12,Cc1cccc2ccccc12,undefined,flavor_db
O=C1OC(CO)C(O)C(O)C1O,O=C1OC(CO)C(O)C(O)C1O,undefined,flavor_db
CNC(C)C(O)c1ccccc1,CNC(C)C(O)c1ccccc1,bitter,flavor_db
COc1cccc(OC)c1O,COc1cccc(OC)c1O,undefined,flavor_db
COc1ccccc1OC,COc1ccccc1OC,sweet,flavor_db
c1ccc2ncccc2c1,c1ccc2ncccc2c1,undefined,flavor_db
Sc1ccc2ccccc2c1,Sc1ccc2ccccc2c1,undefined,flavor_db
Cc1ccc2ncccc2c1,Cc1ccc2ncccc2c1,undefined,flavor_db
Cc1ccc2oc(=O)ccc2c1,Cc1ccc2oc(=O)ccc2c1,sweet,flavor_db
c1ccc(-c2ccccc2)cc1,c1ccc(-c2ccccc2)cc1,undefined,flavor_db
COc1ccc2ccccc2c1,COc1ccc2ccccc2c1,sweet,flavor_db
CC(=O)c1ccc2ccccc2c1,CC(=O)c1ccc2ccccc2c1,sweet,flavor_db
C=CCc1ccc(OC)c(OC)c1,C=CCc1ccc(OC)c(OC)c1,sweet,flavor_db
CCOc1ccc2ccccc2c1,CCOc1ccc2ccccc2c1,undefined,flavor_db
C=CCc1ccc(OC(C)=O)c(OC)c1,C=CCc1ccc(OC(C)=O)c(OC)c1,sweet,flavor_db
CC(C=O)c1ccccc1,CC(C=O)c1ccccc1,undefined,flavor_db
CCC(O)c1ccccc1,CCC(O)c1ccccc1,sweet,flavor_db
CCC(=O)c1ccccc1,CCC(=O)c1ccccc1,undefined,flavor_db
COC(=O)c1ccccc1,COC(=O)c1ccccc1,sweet,flavor_db
COC(=O)c1cccnc1,COC(=O)c1cccnc1,undefined,flavor_db
CCOC(=O)c1ccccc1,CCOC(=O)c1ccccc1,sweet,flavor_db
CCOC(=O)CC(=O)c1ccccc1,CCOC(=O)CC(=O)c1ccccc1,sweet,flavor_db
CCCOC(=O)c1ccc(O)cc1,CCCOC(=O)c1ccc(O)cc1,sweet,flavor_db
CCCCOC(=O)c1ccc(O)cc1,CCCCOC(=O)c1ccc(O)cc1,undefined,flavor_db
O=C(OOC(=O)c1ccccc1)c1ccccc1,O=C(OOC(=O)c1ccccc1)c1ccccc1,undefined,flavor_db
CC(C)CCOC(=O)c1ccccc1,CC(C)CCOC(=O)c1ccccc1,sweet,flavor_db
O=C(OCCc1ccccc1)c1ccccc1,O=C(OCCc1ccccc1)c1ccccc1,undefined,flavor_db
c1ccc2scnc2c1,c1ccc2scnc2c1,undefined,flavor_db
Cc1nc2ccccc2o1,Cc1nc2ccccc2o1,undefined,flavor_db
Cc1ccccc1C,Cc1ccccc1C,undefined,flavor_db
Cc1ccc(C)c(C)c1,Cc1ccc(C)c(C)c1,undefined,flavor_db
Cc1ccc(O)cc1C,Cc1ccc(O)cc1C,undefined,flavor_db
Cc1ccc(C)c(O)c1,Cc1ccc(C)c(O)c1,sweet,flavor_db
Cc1cc(C)c(C)cc1C,Cc1cc(C)c(C)cc1C,sweet,flavor_db
CCC(C)CN,CCC(C)CN,undefined,flavor_db
CCC(C)C=O,CCC(C)C=O,undefined,flavor_db
CCC(=O)CC,CCC(=O)CC,undefined,flavor_db
O=C1CCCO1,O=C1CCCO1,sweet,flavor_db
Cn1cccc1,Cn1cccc1,undefined,flavor_db
C=C(C)C1CC=C(C)C(OC(C)=O)C1,C=C(C)C1CC=C(C)C(OC(C)=O)C1,sweet,flavor_db
C=C(C)C1CC=C(C)C(OC(=O)CC)C1,C=C(C)C1CC=C(C)C(OC(=O)CC)C1,sweet,flavor_db
CCCC(C)C(=O)O,CCCC(C)C(=O)O,sour,flavor_db
CCOC(=O)C(C)C,CCOC(=O)C(C)C,sweet,flavor_db
CCOC(=O)C(C)O,CCOC(=O)C(C)O,undefined,flavor_db
CC(C)COC(=O)C(C)C,CC(C)COC(=O)C(C)C,undefined,flavor_db
CCCCOC(=O)C(C)C,CCCCOC(=O)C(C)C,sweet,flavor_db
CCC(C=O)CC,CCC(C=O)CC,sweet,flavor_db
OCC1CCCO1,OCC1CCCO1,undefined,flavor_db
OCc1ccco1,OCc1ccco1,sweet,flavor_db
SCc1ccco1,SCc1ccco1,undefined,flavor_db
O=Cc1cccs1,O=Cc1cccs1,undefined,flavor_db
CC(C)(C)c1ccc(O)cc1,CC(C)(C)c1ccc(O)cc1,undefined,flavor_db
O=C1CCC(C(=O)O)N1,O=C1CCC(C(=O)O)N1,sweet,flavor_db
CC(O)c1ccccc1,CC(O)c1ccccc1,sweet,flavor_db
CC(=O)c1ccccc1,CC(=O)c1ccccc1,sweet,flavor_db
O=C(O)C1CCCCC1,O=C(O)C1CCCCC1,sour,flavor_db
C=C(C)C1CC=C(C)C(O)C1,C=C(C)C1CC=C(C)C(O)C1,undefined,flavor_db
C=C(C)C1CC=C(C)C(=O)C1,C=C(C)C1CC=C(C)C(=O)C1,undefined,flavor_db
COC(=O)c1ccc(O)cc1,COC(=O)c1ccc(O)cc1,undefined,flavor_db
CC1CCC(C(C)C)CC1,CC1CCC(C(C)C)CC1,undefined,flavor_db
CC1=CCC(C(C)C)C=C1,CC1=CCC(C(C)C)C=C1,undefined,flavor_db
Cc1ccc(C(C)C)cc1,Cc1ccc(C(C)C)cc1,undefined,flavor_db
