SMILES,Class taste,Taste
OCC1OC(OC2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O,Sweetness,Sweet
OCC(O)C1OCC(O)C1O,Sweetness,Sweet
OCC(O)C1OCC(O)C1O,Sweetness,Sweet
OCC1OCC(O)C1O,Sweetness,Sweet
OCC1OCC(O)C1O,Sweetness,Sweet
COc1ccc(cc1O)C1COc2ccccc2O1,Sweetness,Sweet
OCC1OC(OC2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1O,Sweetness,Sweet
OCC1OCC(O)C(O)C1O,Sweetness,Low sweet; Sweet
OCC1OCC(O)C(O)C1O,Sweetness,Sweet
OCC1OCC(O)C(O)C1O,Sweetness,Sweet
OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,Sweetness,Sweet(8); Intensely sweet
OC1C(O)C(O)(CCl)OC1CCl,Sweetness,Sweet
COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,Sweetness,Sweet; Less sweet
CSCC1OC(O)(CSC)C(O)C1O,Sweetness,Sweet
CC1(CCCC2C1C(C(O)=O)c1ccccc21)C(O)=O,Sweetness,Sweet
CC(=O)C1CCC(=CC1)C=NO,Sweetness,Sweet
CC(CCC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C(C)(C)O)C1CCC2(C)C3CC=C4C(CCC(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(O)C5O)C4(C)C)C3(C)C(=O)CC12C,Sweetness,Sweet
CC12CCCC(C)(C2CCC23CC(=C)C(CCC12)(C3)OC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O)C(=O)OC1OC(CO)C(O)C(O)C1O,Sweetness,Sweet
CC12CCCC(C)(C2CCC23CC(CCC12)(OC1OC(CO)C(O)C(O)C1O)C(=C)C3=O)C(=O)OC1OC(CO)C(O)C(O)C1O,Sweetness,Sweet
CC1CC2C(C)(CCCC2(C)C(=O)OC2OC(CO)C(O)C(O)C2O)C2CCC3(CC12C(O)C3=C)OC1OC(CO)C(O)C(O)C1O,Sweetness,Sweet
CC12CCCC(C)(C2CCC23CC(O)(CO)C(CCC12)(C3)OC1OC(C(O)O)C(O)C(O)C1O)C(=O)OC1OC(CO)C(O)C(O)C1O,Sweetness,Slightly sweet
CC12CCCC(C)(C2CCC23CC(O)(CO)C(CCC12)(C3)OC1OC(C(O)O)C(O)C(O)C1O)C(=O)OC1OC(CO)C(O)C(O)C1O,Sweetness,Slightly sweet
NC1(CCC1)C(O)=O,Sweetness,Sweet
OCC1OC(OC2(CCl)OC(CO)C(O)C2O)C(O)C(O)C1O,Sweetness,Sweet
ON=CC1=CCCCC1,Sweetness,Sweet(6); Sweet/Bitter
ON=CC1=CCCC1,Sweetness,Sweet
CC1(OC(CO)C(O)C1O)OC1OC(CO)C(O)C(O)C1O,Sweetness,Sweet
CC1=CC=CCC1,Sweetness,Sweet
CC1=CCC(CC1)C=C,Sweetness,Sweet
CC1=CCCCC1,Sweetness,Sweet
COCC1(OC(CO)C(O)C1O)OC1OC(CO)C(O)C(O)C1O,Sweetness,Sweet; Very sweet
CC1CC(=C(C)CC1(C(O)=O)S(=O)(=O)c1ccccc1)C,Sweetness,Sweet
CC1=C(C)CC(CC1)(C(O)=O)S(=O)(=O)c1ccccc1,Sweetness,Sweet
CC1CC(=CCC1(C(O)=O)S(=O)(=O)c1ccccc1)C,Sweetness,Sweet
CC1=CCC(CC1)(C(O)=O)S(=O)(=O)c1ccccc1,Sweetness,Sweet
NC(=O)c1c(cc(c(c1Br)CC(O)=O)Br)Br,Sweetness,Sweet
OC(=O)c1ccccc1C(=O)c1ccc(c(c1)O)O,Sweetness,Sweet
COc1ccc(cc1O)C(=O)c1ccccc1C(O)=O,Sweetness,Sweet
COc1ccc(cc1O)OCc1ccccc1C(O)=O,Sweetness,Sweet
COc1ccc(cc1O)C1OC(=O)c2ccccc2O1,Sweetness,Tasteless; Sweet(2)
COc1ccc(cc1O)C1Oc2ccccc2O1,Sweetness,Sweet
COc1ccc(cc1O)C1OC(=O)c2ccccc2S1,Sweetness,Sweet
COc1ccc(cc1O)C1Oc2ccccc2S1,Sweetness,Sweet
COc1ccc(cc1O)C1CSc2ccccc2S1,Sweetness,Sweet
COc1ccc(cc1O)C1CSc2cc(ccc2O1)O,Sweetness,Sweet
COc1ccc(cc1O)C1CSc2ccccc2O1,Sweetness,Sweet
COc1ccc(cc1O)C1CS(=O)(=O)c2ccccc2O1,Sweetness,Sweet
COc1ccc(cc1O)C1OCc2c(cccc2O1)O,Sweetness,Sweet
COc1ccc(cc1O)C1SCc2c(cccc2S1)O,Sweetness,Sweet
COc1ccc(cc1O)C1OCc2c(cccc2S1)O,Sweetness,Sweet
COc1ccc(cc1O)C1CCc2ccccc2S1,Sweetness,Sweet
COc1ccc(cc1O)C1Sc2ccccc2S1,Sweetness,Sweet
COc1ccc(cc1O)C1Oc2ccccc2CS1,Sweetness,Sweet
COc1ccc(cc1S)C1OCc2ccccc2S1,Sweetness,Sweet
OC(=O)c1ccccc1C(=O)c1ccc(cc1)Cl,Sweetness,Sweet
CCOc1ccc(cc1)C(=O)c1ccccc1C(O)=O,Sweetness,Sweet
OC(=O)c1ccccc1C(=O)c1ccc(cc1)O,Sweetness,Sweet
COc1ccc(cc1)C(=O)c1ccccc1C(O)=O,Sweetness,Sweet
COc1ccc(cc1)S(=O)c1ccccc1C(O)=O,Sweetness,Sweet 
Cc1ccc(cc1)C(=O)c1ccccc1C(O)=O,Sweetness,Sweet
CC(C)C(C)(C(O)=O)S(=O)(=O)c1ccccc1,Sweetness,Sweet
OC(=O)C(C1CCCC1)S(=O)(=O)c1ccccc1,Sweetness,Sweet
CC(C)C(C(O)=O)S(=O)(=O)c1ccccc1,Sweetness,Sweet
CCC(C)C(C(O)=O)S(=O)(=O)c1ccccc1,Sweetness,Sweet
OC(=O)CNC(Nc1ccccc1)=Nc1ccccc1,Sweetness,Sweet
CC1(C)CC1(C(O)=O)S(=O)(=O)c1ccc(cc1)O,Sweetness,Sweet
CC1(C)CC1(C(O)=O)S(=O)(=O)c1ccc(cc1)O,Sweetness,Sweet
CCOc1ccc(cc1O)CCC(=O)c1ccccc1O,Sweetness,Sweet
CCC(Cc1c(cc(c(c1I)C(N)=O)I)I)C(O)=O,Sweetness,Sweet
CCc1ccc(cc1)S(=O)(=O)C(C(C)C)C(O)=O,Sweetness,Sweet
OC(=O)CC(NC(=O)NC=O)C(O)=O,Sweetness,Sweet
OC(=O)CNC(NCc1ccccc1)=Nc1cccnc1,Sweetness,Sweet
OC(=O)CNC(NCC12CC3CC(CC(C3)C1)C2)=Nc1ccc(cc1)C#N,Sweetness,Sweet
OC(=O)CNC(Nc1cccc2ccccc12)=Nc1cc(cc(c1)Cl)Cl,Sweetness,Sweet
OC(=O)CNC(NC1CCc2ccccc12)=Nc1ccc(cc1)C#N,Sweetness,Sweet
Cc1ccccc1NC(NCC(O)=O)=Nc1ccc(cc1)C#N,Sweetness,Sweet
OC(=O)CNC(NCCc1ccccc1)=Nc1ccc(cc1)C#N,Sweetness,Sweet
Cc1cccc(c1)NC(NCC(O)=O)=Nc1ccc(cc1)C#N,Sweetness,Sweet
Cc1ccc(cc1)NC(NCC(O)=O)=Nc1ccc(cc1)C#N,Sweetness,Sweet
OC(=O)CNC(NC1CCCCCC1)=Nc1ccc(cc1)C#N,Sweetness,Sweet
OC(=O)CNC(NC1CCCCC1)=Nc1ccc(cc1)C#N,Sweetness,Sweet
OC(=O)CNC(NCC1CCCCC1)=Nc1ccc(cc1)C#N,Sweetness,Sweet
CCNC(NCC(O)=O)=Nc1ccc(cc1)C#N,Sweetness,Sweet
CCCCCCNC(NCC(O)=O)=Nc1ccc(cc1)C#N,Sweetness,Sweet
OC(=O)CNC(Nc1cccc2ccccc12)=Nc1ccc(cc1)C#N,Sweetness,Sweet
OC(=O)CNC(NS(=O)(=O)Cc1ccccc1)=Nc1ccc(cc1)C#N,Sweetness,Sweet
OC(=O)CNC(NC1CCCCCC1)=Nc1cc(cc(c1)Cl)Cl,Sweetness,Sweet
OC(=O)CNC(NCC1CCCCC1)=Nc1cc(cc(c1)Cl)Cl,Sweetness,Sweet
OC(=O)CNC(NCC1CCCCC1)=Nc1ccc(cc1)N(=O)=O,Sweetness,Sweet
OC(=O)CNC(NC1CCCCCCC1)=Nc1ccc2c(c1)NN=C2,Sweetness,Sweet
OC(=O)CNC(NC1CCCCCCC1)=Nc1cc(cc(c1)Cl)Cl,Sweetness,Sweet
CCN(Cc1ccccc1)C(NCC(O)=O)=Nc1ccc(cc1)C#N,Sweetness,Sweet
CN(Cc1ccccc1)C(NCC(O)=O)=Nc1cc(cc(c1)Cl)Cl,Sweetness,Sweet
CN(Cc1ccccc1)C(NCC(O)=O)=Nc1ccc(cc1)C#N,Sweetness,Sweet
NC(NCC(O)=O)=Nc1ccc(cc1)C#N,Sweetness,Sweet
OC(=O)CNC(Nc1ccccc1)=Nc1ccc(cc1)C#N,Sweetness,Sweet
OC(=O)CNC(NS(=O)(=O)c1ccccc1)=Nc1ccccc1,Sweetness,Sweet
OC(=O)CNC(NC1CCCCC1)=Nc1ccccc1,Sweetness,Sweet
OC(=O)CNC(NCC1CCCCC1)=Nc1ccccc1,Sweetness,Sweet
OC(=O)CNC(NS(=O)(=O)c1ccccc1)=Nc1cccc(c1)Cl,Sweetness,Sweet
OC(=O)CNC(NCc1ccccc1)=Nc1cc(cc(c1)Cl)Cl,Sweetness,Sweet
OC(=O)CNC(NCc1ccccc1)=Nc1ccc(cc1)C#N,Sweetness,Sweet
Oc1ccc(cc1OC(=O)Oc1ccc(cc1)N(=O)=O)C1OCc2ccccc2S1,Sweetness,Sweet
COc1ccc(cc1OC(=O)Nc1ccc(cc1)N(=O)=O)C1OCc2ccccc2O1,Sweetness,Sweet(2); Non-bitter
COc1ccc(cc1OC(=O)Nc1ccc(cc1)N(=O)=O)C1OCc2ccccc2S1,Sweetness,Sweet(3); Non-bitter
O=C(COc1cccc(c1)C1OCc2ccccc2S1)c1ccc(cc1)N(=O)=O,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1cc(cc(c1)Cl)Cl)C1CCCCC1,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1cc(c(c(c1)Cl)Cl)Cl)c1ccccc1,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1ccc2ccccc2n1)c1ccccc1,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1cnc2ccccc2c1)c1ccccc1,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1cccc(c1)C(F)(F)F)c1ccccc1,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1cnc2c(c1)NN=C2)c1ccccc1,Sweetness,Sweet
OC(=O)CNC(NC1CCCCCCC1)=NC1=CC2=NON=C2C=C1,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1ccc2c(c1)CCC2)c1ccccc1,Sweetness,Sweet
OC(=O)CNC(NC1CCCCCCC1)=Nc1cnc(nc1)C#N,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1ccc2c(c1)OCO2)c1ccccc1,Sweetness,Sweet
CCCCC(C)NC(NCC(O)=O)=Nc1cc(cc(c1)Cl)Cl,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1cc(cc(c1)F)F)c1ccccc1,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1cc(cc(c1)C)C)c1ccccc1,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1cccc(c1)Br)c1ccccc1,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1cccc(c1)Cl)c1ccccc1,Sweetness,Sweet
OC(=O)CNC(Nc1cccc(c1)Cl)=Nc1ccc(cc1)C#N,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1cccc(c1)C#N)c1ccccc1,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1cccc(c1)C)c1ccccc1,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1cccc(c1)N(=O)=O)c1ccccc1,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1cc(c(c(c1)C)C#N)C)c1ccccc1,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1ccc(c(c1)C)C#N)c1ccccc1,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1ccc(cc1)C#N)C1CCCCC1,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1ccc(cc1)C#N)c1ccccc1,Sweetness,Sweet
COCC(NC(NCC(O)=O)=Nc1ccc(cc1)C#N)c1ccccc1,Sweetness,Sweet
OC(=O)CNC(NS(=O)(=O)C1CCCCCC1)=Nc1ccc(cc1)C#N,Sweetness,Sweet
OC(=O)CNC(NS(=O)(=O)C1CCCCC1)=Nc1ccc(cc1)C#N,Sweetness,Sweet
CCCCC(C)NC(NCC(O)=O)=Nc1ccc(cc1)C#N,Sweetness,Sweet
CCCCCS(=O)(=O)NC(NCC(O)=O)=Nc1ccc(cc1)C#N,Sweetness,Sweet
OC(=O)CNC(NC(C1=CC=CO1)c1ccccc1)=Nc1ccc(cc1)C#N,Sweetness,Sweet
CN(NC(NCC(O)=O)=Nc1ccc(cc1)C#N)c1ccccc1,Sweetness,Sweet
OC(=O)CNC(NC1CCCCCCCCC1)=Nc1ccc(cc1)C#N,Sweetness,Sweet
CN(C1CCCCCCC1)C(NCC(O)=O)=Nc1ccc(cc1)C#N,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1ccc(cc1)N(=O)=O)c1ccccc1,Sweetness,Sweet
OC(=O)CNC(NC1CCCCCCC1)=Nc1ccc(nc1)Cl,Sweetness,Sweet
OC(=O)CNC(NC(C1=CC=CO1)c1ccccc1)=Nc1ccc(nc1)C#N,Sweetness,Sweet
OC(=O)CNC(NC1CCCCCCCC1)=Nc1ccc(nc1)C#N,Sweetness,Sweet
OC(=O)CNC(NC1CCCCCCC1)=Nc1ccc(nc1)C#N,Sweetness,Sweet
OC(=O)CNC(NC12CC3CC(CC(C3)C1)C2)=Nc1ccc(cc1)C#N,Sweetness,Sweet
CCCCS(=O)(=O)NC(NCC(O)=O)=Nc1ccc(cc1)C#N,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1ccc2ccccc2c1)c1ccccc1,Sweetness,Sweet
OC(=O)CNC(Nc1cc(cc(c1)Cl)Cl)=Nc1cc(cc(c1)Cl)Cl,Sweetness,Sweet
OC(=O)CNC(NC1CCCCCCC1)=Nc1ccc2ccccc2n1,Sweetness,Sweet
CC(NC(NCC(O)=O)=Nc1ccccc1)c1ccccc1,Sweetness,Sweet
OCCN(C1CCSCC1)S([O-])(=O)=O,Sweetness,Sweet
OCC1OC(OC2(CBr)OC(CBr)C(O)C2O)C(O)C(O)C1Cl,Sweetness,Sweet
OCC1OC(OC2(CBr)OC(CBr)C(O)C2O)C(O)C(O)C1O,Sweetness,Sweet
OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Br,Sweetness,Sweet
CSc1cccc(c1)N=C(NCC(O)=O)NC(C)c1ccccc1,Sweetness,Sweet
OCc1ccc(cc1CO)NC(NCC(O)=O)=Nc1ccc(cc1)C#N,Sweetness,Sweet
CC(C)OC(=O)C(C)NC(=O)C(N)C(O)=O,Sweetness,Sweet
Nc1ccccc1C(O)=O,Sweetness,Sweet
NC(=O)c1c(cc(c(c1Br)CC(Br)C(O)=O)Br)Br,Sweetness,Sweet
CCOC(Cc1c(cc(c(c1Br)C(N)=O)Br)Br)C(O)=O,Sweetness,Sweet
CCOc1ccc(cc1O)CCc1ccccc1,Sweetness,Sweet
COc1ccc(cc1O)CC(=O)c1ccccc1O,Sweetness,Sweet
NC(=O)c1c(cc(c(c1Br)CC(O)C(O)=O)Br)Br,Sweetness,Sweet
COC(Cc1c(cc(c(c1Br)C(N)=O)Br)Br)C(O)=O,Sweetness,Sweet
COc1ccc(cc1O)CCCc1ccccc1,Sweetness,Sweet
COc1ccc(cc1O)CSc1ccccc1,Sweetness,Sweet
COc1ccc(cc1O)CCc1ccccc1OC,Sweetness,Sweet
COc1ccc(cc1O)CCc1ccccc1C,Sweetness,Sweet
COc1cccc(c1)CCc1ccc(c(c1)O)OC,Sweetness,Sweet
COc1ccc(cc1O)CCc1cccc(c1)C,Sweetness,Sweet
CC=C(C)C,Sweetness,Sweet
CC(Cc1c(cc(c(c1Br)C(N)=O)Br)Br)C(O)=O,Sweetness,Sweet
CCC(C(O)=O)S(=O)(=O)c1ccccc1,Sweetness,Sweet
CC(=O)OC1C(Oc2cc(cc(c2C1=O)O)O)c1ccc(cc1)O,Sweetness,Sweet
COc1ccc(cc1O)CCC(=O)c1c(cc(c(c1O)C(O)=O)O)O,Sweetness,Sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NCNc1ccc(cc1)C#N,Sweetness,Sweet
CCOC(=O)c1ccc(cc1)NC(=S)NC(CC(O)=O)C(=O)NC(Cc1ccccc1)C(=O)OC,Sweetness,Sweet
CCOC(=O)c1ccc(cc1)NC(=O)NC(CC(O)=O)C(=O)NC(Cc1ccccc1)C(=O)OC,Sweetness,Sweet
CC(CNC(C)(C1CC1)C1CC1)NC(=O)C(CC(O)=O)NCCC(C)(C)C,Sweetness,Sweet
CC(NC(=O)C(N)CC(O)=O)NC(=O)C12CC3CC(CC(C3)C1)C2,Sweetness,Sweet
COc1ccc(c(c1O)C=Cc1ccc(cc1)N(=O)=O)C1OCc2ccccc2S1,Sweetness,Sweet
OC(=O)CC(NC(=O)Nc1ccc(cc1)C#N)c1ccc2c(c1)OCO2,Sweetness,Sweet
CC(Cc1ccccc1)NC(=O)C(CC(O)=O)NCCC(C)(C)C,Sweetness,Sweet
NC(=O)c1c(cc(c(c1Br)CCC(O)=O)Br)Br,Sweetness,Sweet
NC(=O)c1c(cc(c(c1Cl)CCC(O)=O)Cl)Cl,Sweetness,Sweet
NC(=O)c1c(cc(c(c1I)CCC(O)=O)I)I,Sweetness,Sweet
COc1ccc(cc1O)C1Cc2ccccc2CO1,Sweetness,Sweet
COc1ccc(cc1O)CCC(=O)c1ccccc1O,Sweetness,Sweet
COc1ccc(cc1O)CCC(=O)c1cccc(c1)C(O)=O,Sweetness,Sweet
COc1ccc(cc1O)C1COc2ccccc2C1,Sweetness,Sweet
NC(CC(=O)c1ccc(cc1N)Cl)C(O)=O,Sweetness,Sweet
Oc1cccc(c1)C1OCc2ccccc2S1,Sweetness,Sweet(5); Non-bitter
CCCCNC(CC(O)=O)C(=O)NC(Cc1ccccc1)C(=O)OC,Sweetness,Sweet
CCCCNC(=O)C(CC(O)=O)NCCC(C)(C)C,Sweetness,Sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NC1CCCCCC1,Sweetness,Sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NC1CCCCC1,Sweetness,Sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NC1CCCCCCC1,Sweetness,Sweet
OC(=O)CC(NC(=O)C(Cl)(Cl)Cl)C(=O)Nc1ccccc1,Sweetness,Sweet
[Na+].CC(C)(C)CCNS([O-])(=O)=O,Sweetness,Sweet
Oc1ccc(cc1O)C1OCc2ccccc2S1,Sweetness,Sweet
CCOc1ccc(cc1O)C1CC(=O)c2c(cccc2O1)O,Sweetness,Sweet
COc1ccc(cc1O)C1CC(=O)c2c(cccc2O1)O,Sweetness,Sweet
CCCOc1ccc(cc1O)C1CC(=O)c2c(cccc2O1)O,Sweetness,Sweet
CCOC(=O)C(NC(=O)C(CC(O)=O)NC(=O)Nc1ccc(cc1)N(=O)=O)C(=O)OCC,Sweetness,Sweet
COC(=O)C(NC(=O)C(CC(O)=O)NC(=O)Nc1ccc(cc1)N(=O)=O)C(=O)OC,Sweetness,Sweet
COC(=O)C(NC(=O)C(CC(O)=O)NC(=O)Nc1ccc(cc1)N(=O)=O)C1CCCCC1,Sweetness,Sweet
CCOC(=O)C(C)NC(=O)C(CC(O)=O)NC(=O)Nc1ccc(cc1)N(=O)=O,Sweetness,Sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NC(=S)Nc1ccc(cc1)C(=O)OC,Sweetness,Sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NC(=O)Nc1ccc(cc1)C(=O)OC,Sweetness,Sweet
CNS(=O)(=O)c1ccc(cc1)NC(=O)NC(CC(O)=O)C(=O)NC(Cc1ccccc1)C(=O)OC,Sweetness,Sweet
CCCCCNC(CC(O)=O)C(=O)NC(Cc1ccccc1)C(=O)OC,Sweetness,Sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NCC(C)C,Sweetness,Sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NCCC(C)(C)c1ccccc1,Sweetness,Sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NCCC(C)C,Sweetness,Sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NCCCc1ccccc1,Sweetness,Sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NC(=S)Nc1ccc(cc1)N(=O)=O,Sweetness,Sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NC(=O)Nc1ccc(cc1)N(=O)=O,Sweetness,Sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NCCCc1ccc(c(c1O)O)O,Sweetness,Sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NCCCc1cc(c(c(c1)O)O)O,Sweetness,Sweet
CCCCC(NC(=O)C(CC(O)=O)NC(=O)Nc1ccc(cc1)N(=O)=O)C(=O)OC,Sweetness,Sweet
CCCC(NC(=O)C(CC(O)=O)NC(=O)Nc1ccc(cc1)N(=O)=O)C(=O)OC,Sweetness,Sweet
COC(=O)C(C)NC(=O)C(CC(O)=O)NC(=O)Nc1ccc(cc1)N(=O)=O,Sweetness,Sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NCC(O)CO,Sweetness,Sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NCC(C)C(C)C,Sweetness,Sweet
COC(=O)C(C)(Cc1ccccc1)NC(=O)C(CC(O)=O)NCCC(C)(C)C,Sweetness,Sweet
COC(=O)C(C)(Cc1ccccc1)NC(=O)C(CC(O)=O)NC(=O)NC=O,Sweetness,Sweet
OC(=O)CC(NC(=O)C1CCCc2ccccc12)C(=O)Nc1cccnc1C#N,Sweetness,Sweet
CCC(CC)CNC(CC(O)=O)C(=O)NC(Cc1ccccc1)C(=O)OC,Sweetness,Sweet
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NCCO,Sweetness,Sweet
CCC(NC(=O)C(CC(O)=O)NCCC(C)(C)C)C(=O)NC(C)c1ccccc1,Sweetness,Sweet
CCC(NC(=O)C(CC(O)=O)NCCC(C)(C)C)C(=O)NC(CC)c1ccccc1,Sweetness,Sweet
COCC(NC(=O)C(NC(=O)C(CC(O)=O)NCCC(C)(C)C)C(C)C)c1ccccc1,Sweetness,Sweet
CCC(NC(=O)C(CC(O)=O)NCCC(C)(C)C)C(=O)NC(COC)c1ccccc1,Sweetness,Sweet
COC(=O)C(C)(Cc1ccc(cc1)O)NC(=O)C(CC(O)=O)NCCC(C)(C)C,Sweetness,Sweet
CC(C)C(NC(=O)C(CC(O)=O)NCCC(C)(C)C)C(=O)NC(C)c1ccccc1,Sweetness,Sweet
CCC(NC(=O)C(NC(=O)C(CC(O)=O)NCCC(C)(C)C)C(C)C)c1ccccc1,Sweetness,Sweet
CCNC(=O)C(CC(O)=O)NCCC(C)(C)C,Sweetness,Sweet
CCCNC(=O)C(CC(O)=O)NCCC(C)(C)C,Sweetness,Sweet
CCOC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NCCC(C)(C)C,Sweetness,Sweet
CC(C)(C)CCNC(CC(O)=O)C(=O)NC(CO)Cc1ccccc1,Sweetness,Sweet
CC(C)CNC(=O)C(CC(O)=O)NCCC(C)(C)C,Sweetness,Sweet
CC(C)OC(=O)C(Cc1ccccc1)NC(=O)C(CC(O)=O)NCCC(C)(C)C,Sweetness,Sweet
COC(=O)C(Cc1ccc(cc1)O)NC(=O)C(CC(O)=O)NCCC(C)(C)C,Sweetness,Sweet
OC(=O)CC(NC(=O)Nc1ccc(cc1)C#N)C(=O)Nc1cccc(c1)Br,Sweetness,Sweet
OC(=O)CC(NC(=O)NC(=O)Nc1ccccn1)C(=O)Nc1cccc(c1)Cl,Sweetness,Sweet
